n,Recursion,RecursionDeCola,Iteracion
0,0.000001,0.000002,0.000001
1,0.000000,0.000000,0.000000
2,0.000000,0.000001,0.000001
3,0.000000,0.000001,0.000000
4,0.000000,0.000001,0.000000
5,0.000000,0.000001,0.000000
6,0.000000,0.000000,0.000001
7,0.000000,0.000000,0.000000
8,0.000000,0.000001,0.000000
9,0.000000,0.000001,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000001,0.000000
12,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000001
14,0.000000,0.000003,0.000000
15,0.000001,0.000001,0.000001
16,0.000001,0.000002,0.000001
17,0.000000,0.000003,0.000002
18,0.000001,0.000003,0.000004
19,0.000000,0.000003,0.000003
20,0.000001,0.000004,0.000003
21,0.000001,0.000005,0.000004
22,0.000002,0.000005,0.000004
23,0.000001,0.000007,0.000005
24,0.000003,0.000006,0.000006
25,0.000003,0.000006,0.000006
26,0.000002,0.000007,0.000006
27,0.000005,0.000052,0.000008
28,0.000006,0.000009,0.000008
29,0.000006,0.000009,0.000009
30,0.000010,0.000009,0.000009
31,0.000010,0.000010,0.000009
32,0.000010,0.000010,0.000010
33,0.000019,0.000011,0.000010
34,0.000021,0.000011,0.000011
35,0.000020,0.000022,0.000010
36,0.000038,0.000013,0.000011
37,0.000040,0.000013,0.000012
38,0.000040,0.000013,0.000012
39,0.000090,0.000014,0.000013
40,0.000073,0.000019,0.000038
41,0.000074,0.000015,0.000013
42,0.000160,0.000017,0.000015
43,0.000147,0.000017,0.000015
44,0.000147,0.000018,0.000019
45,0.000229,0.000013,0.000012
46,0.000227,0.000025,0.000014
47,0.000227,0.000015,0.000014
48,0.000470,0.000019,0.000015
49,0.000541,0.000020,0.000016
50,0.000511,0.000033,0.000017
51,0.001028,0.000019,0.000016
52,0.000973,0.000020,0.000017
53,0.000892,0.000021,0.000015
54,0.001691,0.000017,0.000016
55,0.001671,0.000020,0.000015
56,0.002154,0.000039,0.000029
57,0.006570,0.000024,0.000020
58,0.003318,0.000020,0.000016
59,0.003335,0.000021,0.000018
60,0.006466,0.000020,0.000019
61,0.006393,0.000022,0.000018
62,0.006545,0.000026,0.000029
63,0.014677,0.000026,0.000021
64,0.015401,0.000077,0.000022
65,0.014904,0.000048,0.000033
66,0.028604,0.000026,0.000019
67,0.024907,0.000028,0.000019
68,0.025542,0.000027,0.000023
69,0.049322,0.000026,0.000032
70,0.053121,0.000029,0.000021
71,0.049254,0.000027,0.000026
72,0.100314,0.000028,0.000023
73,0.099017,0.000032,0.000022
74,0.101637,0.000046,0.000023
75,0.225793,0.000148,0.000041
76,0.244999,0.000030,0.000026
77,0.198030,0.000030,0.000023
78,0.478139,0.000074,0.000105
79,0.430671,0.000033,0.000029
80,0.417997,0.000035,0.000025
81,0.841018,0.000030,0.000024
82,0.801281,0.000032,0.000036
83,0.761854,0.000031,0.000027
84,1.508445,0.000043,0.000025
85,1.504832,0.000038,0.000027
86,1.520978,0.000034,0.000028
87,2.962815,0.000050,0.000026
88,3.049236,0.000055,0.000044
89,3.118418,0.000036,0.000028
90,6.105433,0.000052,0.000029
